北京市,110000,Beijing
天津市,120000,Tianjin
河北省,130000,Hebei
山西省,140000,Shanxi
内蒙古自治区,150000,Neimenggu
辽宁省,210000,Liaoning
吉林省,220000,Jilin
黑龙江省,230000,Heilongjiang
上海市,310000,Shanghai
江苏省,320000,Jiangsu
浙江省,330000,Zhejiang
安徽省,340000,Anhui
福建省,350000,Fujian
江西省,360000,Jiangxi
山东省,370000,Shandong
河南省,410000,Henan
湖北省,420000,Hubei
湖南省,430000,Hunan
广东省,440000,Guangdong
广西壮族自治区,450000,Guangxi
海南省,460000,Hainan
重庆市,500000,Chongqing
四川省,510000,Sichuan
贵州省,520000,Guizhou
云南省,530000,Yunan
西藏自治区,540000,Xizang
陕西省,610000,Shaanxi
甘肃省,620000,Gansu
青海省,630000,Qinghai
宁夏回族自治区,640000,Ningxia
新疆维吾尔自治区,650000,XinJiang
台湾省,710000,Taiwan
香港特别行政区,810000,Xianggang
澳门特别行政区,820000,Aomen
